lower_bound,upper_bound,time_str,num_transactions,total_value
0.0,240.0,00:00-04:00,129,1295.5001670859988
240.0,480.0,04:00-08:00,188,839.8722065617181
480.0,720.0,08:00-12:00,256,611.3984915883759
720.0,960.0,12:00-16:00,306,1047.3369489499335
960.0,1200.0,16:00-20:00,213,710.5034591226337
1200.0,1440.0,20:00-24:00,181,495.3886562223115
