day,num_transactions,total_value
Monday,203,433.033980818163
Tuesday,166,447.5026207860001
Wednesday,150,308.72076927099994
Thursday,295,924.7039298490004
Friday,184,1436.2851361913727
Saturday,124,852.5930275383082
Sunday,151,597.1604650771258
Weekday,998,3550.246436915529
Weekend,275,1449.7534926154324
